RUT	DV	VIGENCIA	FECHA	TIPO_DIRECCION	CALLE	NUMERO	BLOQUE	DEPARTAMENTO	VILLA_POBLACION	CIUDAD	COMUNA	REGION
50071640	1	S	2000-07-03	SUCURSAL	CAUPOLICAN	950				CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50071640	1	N	2008-01-10	SUCURSAL	GALERIA UNIVERSITARIA	631		30-31		CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50071640	1	N	2001-06-26	SUCURSAL	J ALESSANDRI	3177	C-223	221.B	MALL PZA DEL TREBOL	TALCAHUANO	TALCAHUANO	VIII REGION DEL BIO BIO
50072360	2	S	2005-03-29	SUCURSAL	COSTA AZUL	S N			PAREDONES	BUCALEMU	PAREDONES	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50074570	3	S	2004-01-20	SUCURSAL	CRUCE LOS BOLDOS					REQUINOA	REQUINOA	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50074570	3	S	2005-04-27	SUCURSAL	PC 61 PP LAS ROSAS					REQUINOA	REQUINOA	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50074800	1	S	1993-01-01	SUCURSAL	CALLEJON SANTA ISABEL	S/N			CHACRA SANTA SARA	SANTIAGO	EL MONTE	XIII REGION METROPOLITANA
50075570	9	S	1997-09-30	SUCURSAL	CNO.DE IMPERIAL A TEMUCO	KM.3			CHACRA CARMEN		NUEVA IMPERIAL	IX REGION DE LA ARAUCANIA
50075570	9	S	1998-02-23	SUCURSAL	HIJUELA SANTA ROSA	KLM.12			LUGAR PELECO		NUEVA IMPERIAL	IX REGION DE LA ARAUCANIA
50075620	9	N	2012-12-13	SUCURSAL	CARRERA	1069				LA CALERA	LA CALERA	V REGION VALPARAISO
50081100	5	N	2016-12-28	SUCURSAL	LO CONTADOR	0323		402		SANTIAGO	PROVIDENCIA	XIII REGION METROPOLITANA
50081320	2	N	1993-01-01	SUCURSAL	A.PRAT	780			LOC.19- ROL 214/14		CURICO	VII REGION DEL MAULE
50081320	2	S	1993-01-01	SUCURSAL	A.PRAT	780	OF.11				CURICO	VII REGION DEL MAULE
50081320	2	N	2019-10-09	SUCURSAL	AVENIDA LIBERTAD	400				HUALA?E	HUALANE	VII REGION DEL MAULE
50081320	2	S	2020-02-12	SUCURSAL	AVENIDA LIBERTAD	400	LOC 1	LOC 1		HUALAÑE	HUALANE	VII REGION DEL MAULE
50081320	2	S	2010-08-09	SUCURSAL	CONCON	493				SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50081320	2	N	1993-01-01	SUCURSAL	EST.CENTRAL	S/N			OF.06		EST CENTRAL	XIII REGION METROPOLITANA
50081320	2	S	2013-03-13	SUCURSAL	NICASIO RETAMALES	44		137		SANTIAGO	EST CENTRAL	XIII REGION METROPOLITANA
50081320	2	S	2012-03-22	SUCURSAL	TERMINAL SUR	22				SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50082980	K	S	1993-01-01	SUCURSAL	FREIRE	215	B				LINARES	VII REGION DEL MAULE
50087060	5	S	1998-10-01	SUCURSAL	APOLO 6	1844				SANTIAGO	LAS CONDES	XIII REGION METROPOLITANA
50093360	7	S	2000-01-07	SUCURSAL	PARCELA	61			VISTA HERMOSA	QUILLOTA	HIJUELAS	V REGION VALPARAISO
50093360	7	S	2001-07-18	SUCURSAL	PARCELA	87				STGO	HIJUELAS	V REGION VALPARAISO
50097970	4	S	2000-08-07	SUCURSAL	MARTINEZ DE ROZAS	2770				SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50099040	6	S	1993-01-01	SUCURSAL	PONCHOVI	S N			LINARES DE PERALES	MAULE	MAULE	VII REGION DEL MAULE
50100240	2	N	2011-11-28	SUCURSAL	VALDIVIA	429				LOS ANGELES	LOS ANGELES	VIII REGION DEL BIO BIO
50102190	3	N	1993-01-01	SUCURSAL	AV LO ESPEJO	01565		0601		SANTIAGO	LO ESPEJO	XIII REGION METROPOLITANA
50102950	5	N	2003-04-28	SUCURSAL	1 SUR	1526				TALCA	TALCA	VII REGION DEL MAULE
50102950	5	N	2002-08-12	SUCURSAL	1 SUR- 6 ORIENTE-	1298				TALCA	TALCA	VII REGION DEL MAULE
50102950	5	S	1993-01-01	SUCURSAL	11 ORIENTE	1371				TALCA	TALCA	VII REGION DEL MAULE
50102950	5	S	1993-01-01	SUCURSAL	11 ORIENTE	1375				TALCA	TALCA	VII REGION DEL MAULE
50102950	5	N	2003-06-18	SUCURSAL	MATTA	105				TEMUCO	TEMUCO	IX REGION DE LA ARAUCANIA
50103990	K	N	1993-01-01	SUCURSAL	LA TUNA	S/N			LA TUNA	PLACILLA	PLACILLA	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50103990	K	N	2015-02-11	SUCURSAL	PARCELA 59				MANANTIALES	PLACILLA	PLACILLA	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50103990	K	S	2015-02-11	SUCURSAL	PARCELA 60				MANANTIALES	PLACILLA	PLACILLA	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50106230	8	S	2000-05-16	SUCURSAL	21 DE MAYO	413				QUILLOTA	QUILLOTA	V REGION VALPARAISO
50106230	8	N	2000-04-25	SUCURSAL	OHIGGINS	176		D 12		QUILLOTA	QUILLOTA	V REGION VALPARAISO
50106550	1	N	2009-12-21	SUCURSAL	ANIBAL PINTO	446				PARRAL	PARRAL	VII REGION DEL MAULE
50106550	1	S	2010-01-18	SUCURSAL	IGUALDAD	290				PARRAL	PARRAL	VII REGION DEL MAULE
50107600	7	S	2001-11-27	SUCURSAL	OSSA	2720			CENTRO	ANTOFAGASTA	ANTOFAGASTA	II REGION DE ANTOFAGASTA
50109970	8	N	1993-01-01	SUCURSAL	CAMINO LA RAMIRANA	S/N			PARC. DONA AURISTELA	ROL 1418-12	RANCAGUA	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50109970	8	S	2008-10-06	SUCURSAL	CAMINO LA RAMIRANA	S/N			PARC.7 DNA AURISTELA	ROL 1418-12	RANCAGUA	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50110140	0	S	2002-12-18	SUCURSAL	AVDA DEL MAR	76				VINA DEL MAR	PUCHUNCAVI	V REGION VALPARAISO
50111310	7	S	1993-01-01	SUCURSAL	AVDA. O. BBONILLA	9018			AMP. BONILLA		ANTOFAGASTA	II REGION DE ANTOFAGASTA
50111310	7	S	1993-01-01	SUCURSAL	PJE. OSCAR BONILLA	9228			AMP.BONILLA	ANTOFAGASTA	CALAMA	II REGION DE ANTOFAGASTA
50112190	8	S	2000-03-03	SUCURSAL	LOS ALAMOS	275			ROL 155/17		LICANTEN	VII REGION DEL MAULE
50112960	7	N	2014-05-29	SUCURSAL	ISIDORO ERRAZURIZ	2470				SANTIAGO	INDEPENDENCIA	XIII REGION METROPOLITANA
50113580	1	S	2011-04-19	SUCURSAL	INDEPENDENCIA	4909-B			ROL 2776- 17	SANTIAGO	CONCHALI	XIII REGION METROPOLITANA
50114720	6	N	1993-01-01	SUCURSAL	LEONOR DE LA CORTE	5492				SATGO	QUINTA NORMAL	XIII REGION METROPOLITANA
50116390	2	S	1993-01-01	SUCURSAL	STA GENOVEVA	1196					QUINTA NORMAL	XIII REGION METROPOLITANA
50117160	3	N	2000-10-24	SUCURSAL	PRAT	98				TEMUCO	TEMUCO	IX REGION DE LA ARAUCANIA
50117370	3	N	2004-03-03	SUCURSAL	SANTA FILOMENA	345				CABILDO	CABILDO	V REGION VALPARAISO
50118050	5	S	1999-03-08	SUCURSAL	AV COSTA AZUL	9		LC 25	COSTA AZUL	CARTAGENA	CARTAGENA	V REGION VALPARAISO
50119240	6	S	2002-07-16	SUCURSAL	DUQUECO	1965				STGO	LAS CONDES	XIII REGION METROPOLITANA
50119920	6	S	1994-10-25	SUCURSAL	AV AMERICO VESPUCIO N 150	1 LC A	/281				CERRILLOS	XIII REGION METROPOLITANA
50119920	6	S	2002-02-01	SUCURSAL	LIB B OHIGGINS	949		58	ROL 24-271	SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50120040	9	S	2002-09-25	SUCURSAL	EX COOPERATIVA EL CAQUI	19				LA CALERA	LA CALERA	V REGION VALPARAISO
50120040	9	S	2000-06-12	SUCURSAL	EX COOPERATIVA EL CAQUI	3 Y 19				LA CALERA	LA CALERA	V REGION VALPARAISO
50120680	6	S	2019-10-08	SUCURSAL	BALMACEDA	985		209		LA SERENA	LA SERENA	IV REGION COQUIMBO
50121350	0	S	2011-01-24	SUCURSAL	BIEN COMUN J	LOTE 2			PAN DE AZUCAR	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2002-06-17	SUCURSAL	PARCELA	162			VEGAS NORTES	LA SERENA	LA SERENA	IV REGION COQUIMBO
50121350	0	S	2005-02-17	SUCURSAL	PARCELA	34			LOTE 01 NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2005-02-17	SUCURSAL	PARCELA	34			LOTE 02 NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2002-06-17	SUCURSAL	PARCELA	37			NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2004-05-27	SUCURSAL	PARCELA	60			NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2004-05-27	SUCURSAL	PARCELA	62			NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2004-07-27	SUCURSAL	PARCELA	67			NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2002-06-17	SUCURSAL	PARCELA	70			NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2002-06-17	SUCURSAL	PARCELA	71			NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2007-05-31	SUCURSAL	PARCELA	74			PROYECTO NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2002-06-17	SUCURSAL	PARCELA	77			NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2011-01-24	SUCURSAL	PARCELA	78			NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2007-05-31	SUCURSAL	PARCELA	79				COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2002-06-17	SUCURSAL	PARCELA	90			NUEVA VIDA	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121350	0	S	2002-06-17	SUCURSAL	RESERVAS CERRILLOS LOTE	1,2,3,	Y 4		PAN DE AZUCAR	COQUIMBO	COQUIMBO	IV REGION COQUIMBO
50121990	8	S	1993-01-01	SUCURSAL	COLON	650	LOCAL	112	COSMOCENTRO	ARICA	ARICA	XV REGION ARICA Y PARINACOTA
50122440	5	S	2007-10-11	SUCURSAL	INDEPENDENCIA	00			CAIMANES	CAIMANES	LOS VILOS	IV REGION COQUIMBO
50124630	1	S	1993-01-01	SUCURSAL	LOS CARRERA	751				CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50126720	1	S	2005-12-26	SUCURSAL	FUNDO EL TABLON					COELEMU	COELEMU	XVI REGION DE ÑUBLE
50128050	K	S	2001-02-22	SUCURSAL	FUNDO EL BATRO	S/N			CAMINO QUINTAY	VALPARAISO	CASABLANCA	V REGION VALPARAISO
50130140	K	S	1999-10-04	SUCURSAL	CALLE 18 ESQUINA JOSE ARR	IETA				SANTIAGO	PENALOLEN	XIII REGION METROPOLITANA
50132480	9	N	2004-11-25	SUCURSAL	CARLOS ALESSANDRI	2383			ROL/54-7	ALGARROBO	ALGARROBO	V REGION VALPARAISO
50132480	9	N	1998-12-30	SUCURSAL	SAN MARCOS	935				EL TABO	EL TABO	V REGION VALPARAISO
50132480	9	N	1999-12-27	SUCURSAL	SN MARCOS	860			ROL 112/2	SAN ANTONIO	EL TABO	V REGION VALPARAISO
50135350	7	N	2010-09-09	SUCURSAL	CAMILO HENRIQUEZ	115		4		CURICO	CURICO	VII REGION DEL MAULE
50135350	7	S	2018-03-22	SUCURSAL	SARGENTO ALDEA	485				CURICO	CURICO	VII REGION DEL MAULE
50139910	8	N	2006-08-25	SUCURSAL	LOS MILITARES	6697				SANTIAGO	LAS CONDES	XIII REGION METROPOLITANA
50140520	5	S	2002-08-05	SUCURSAL	RUTA I-50	S/N				PLACILLA	PLACILLA	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50140550	7	N	2017-05-24	SUCURSAL	BULNES	280		213		LOS ANGELES	LOS ANGELES	VIII REGION DEL BIO BIO
50140550	7	N	2017-08-24	SUCURSAL	DINAMARCA	549				TEMUCO	TEMUCO	IX REGION DE LA ARAUCANIA
50140550	7	N	2017-09-01	SUCURSAL	MANUEL BULNES	280		213		LOS ANGELES	LOS ANGELES	VIII REGION DEL BIO BIO
50142310	6	S	2003-05-06	SUCURSAL	FDO. RESERVA ROL 40/14	S/N			CARRIZALILLO	RANGUIL	LOLOL	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50142590	7	S	1998-07-20	SUCURSAL	CASILLA	468				PUNTA ARENAS	PUNTA ARENAS	XII REGION DE MAGALLANES Y LA ANTARTICA CHILENA
50143670	4	N	2002-08-06	SUCURSAL	PRESIDENTE KENNEDY	5413		307		STGO	LAS CONDES	XIII REGION METROPOLITANA
50143670	4	N	2000-01-10	SUCURSAL	A VESPUCIO	399		242		SANTIAGO	MAIPU	XIII REGION METROPOLITANA
50143670	4	S	2022-06-24	SUCURSAL	AMERICO VESPUCIO	1397				SANTIAGO	HUECHURABA	XIII REGION METROPOLITANA
50143670	4	N	2009-10-19	SUCURSAL	AMERICO VESPUCIO	339		242		SANTIAGO	MAIPU	XIII REGION METROPOLITANA
50143670	4	N	2009-11-20	SUCURSAL	AMERICO VESPUCIO	399		242		SANTIAGO	MAIPU	XIII REGION METROPOLITANA
50143670	4	N	2011-03-17	SUCURSAL	AV JOSE PEDRO ALESSANDRI	1166		3012		SANTIAGO	NUNOA	XIII REGION METROPOLITANA
50143670	4	N	2009-12-09	SUCURSAL	AV LAS CONDES	14151			LOCAL 5-6-7-8	STGO	LAS CONDES	XIII REGION METROPOLITANA
50143670	4	S	2019-09-30	SUCURSAL	AV NUEVA ALBERTO EINSTEIN	290		101-3		RANCAGUA	RANCAGUA	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50143670	4	N	2022-08-04	SUCURSAL	AV PORTAL DE S PEDRO 4850 C 3 - 1 C-B COSTA NORTE			23			SAN PEDRO DE LA PAZ	VIII REGION DEL BIO BIO
50143670	4	S	2022-10-11	SUCURSAL	AV PORTAL DE S PEDRO 4850 C 3 - 1 C-B COSTA NORTE		24	23			SAN PEDRO DE LA PAZ	VIII REGION DEL BIO BIO
50143670	4	S	2025-04-25	SUCURSAL	AV. DEL PARQUE 4951 CIUDAD EMPRESARIAL						HUECHURABA	XIII REGION METROPOLITANA
50143670	4	N	2010-08-26	SUCURSAL	AV.AMERICO VESPUCIO	399		501		SANTIAGO	MAIPU	XIII REGION METROPOLITANA
50143670	4	N	2014-12-12	SUCURSAL	AV.ANDRES BELLO	2447		4240		SANTIAGO	PROVIDENCIA	XIII REGION METROPOLITANA
50143670	4	N	2014-12-01	SUCURSAL	AV.ANDRES BELLO	2447		4240		SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50143670	4	N	2018-04-24	SUCURSAL	AVDA CLAUDIO ARRAU	6910		2B		SANTIAGO	PUDAHUEL	XIII REGION METROPOLITANA
50143670	4	S	2018-07-20	SUCURSAL	AVDA INDEPENDENCIA	565		TM313		SANTIAGO	INDEPENDENCIA	XIII REGION METROPOLITANA
50143670	4	S	2014-04-29	SUCURSAL	AVDA KENNEDY	5413		116B		SANTAGO	LAS CONDES	XIII REGION METROPOLITANA
50143670	4	N	2000-09-07	SUCURSAL	AVDA KENNEDY	9001		3128		SANTIAGO	LAS CONDES	XIII REGION METROPOLITANA
50143670	4	N	2003-11-19	SUCURSAL	AVDA LA DEHESA	1445		1069	ROL 3565-11	STGO	LO BARNECHEA	XIII REGION METROPOLITANA
50143670	4	N	2010-11-29	SUCURSAL	AVDA LA DEHESA	1445		1116		SANTIAGO	LO BARNECHEA	XIII REGION METROPOLITANA
50143670	4	N	2009-11-23	SUCURSAL	AVDA LAS CONDES	14151		PISO2		SANTIAGO	LAS CONDES	XIII REGION METROPOLITANA
50143670	4	N	2019-03-13	SUCURSAL	AVDA LO ESPEJO	943		102		SANTIAGO	MAIPU	XIII REGION METROPOLITANA
50143670	4	N	2016-11-09	SUCURSAL	AVDA PDTE EDUARDO FREI MO	9709	LOCAL	822-4		SANTIAGO	QUILICURA	XIII REGION METROPOLITANA
50143670	4	N	2010-12-03	SUCURSAL	AVDA. AMERICO VESPUCIO	1737		P1297		SANTIAGO	HUECHURABA	XIII REGION METROPOLITANA
50143670	4	N	2011-12-06	SUCURSAL	AVDA. JORGE ALESSANDRI	3177		H133		TALCAHUANO	TALCAHUANO	VIII REGION DEL BIO BIO
50143670	4	N	2013-11-08	SUCURSAL	AVDA. LARRAIN	5862		A3052		SANTIAGO	LA REINA	XIII REGION METROPOLITANA
50143670	4	N	2014-08-22	SUCURSAL	AVDA. LIBERTAD	1348				VINA DEL MAR	VINA DEL MAR	V REGION VALPARAISO
50143670	4	N	2014-08-28	SUCURSAL	AVDA. LIBERTAD	1348		128		VINA DEL MAR	VINA DEL MAR	V REGION VALPARAISO
50143670	4	N	2010-12-17	SUCURSAL	AVDA. SAN IGNACIO	1001		3		SANTIAGO	QUILICURA	XIII REGION METROPOLITANA
50143670	4	S	2013-11-25	SUCURSAL	CAMINO INTERNACIONAL	2440		6-8		SANTIAGO	VINA DEL MAR	V REGION VALPARAISO
50143670	4	S	2016-07-12	SUCURSAL	CARLOS VALDOVINOS	200		B1		SANTIAGO	SAN JOAQUIN	XIII REGION METROPOLITANA
50143670	4	S	2014-10-14	SUCURSAL	MAIPU	0110	A1037	A1041		COPIAPO	COPIAPO	III REGION DE ATACAMA
50143670	4	N	2022-12-09	SUCURSAL	PDTE EDUARDO FREI M 9709 C BUENAVENTURA			L402			QUILICURA	XIII REGION METROPOLITANA
50143670	4	S	2024-10-01	SUCURSAL	PDTE EDUARDO FREI M 9709 C BUENAVENTURA		A	L100			QUILICURA	XIII REGION METROPOLITANA
50143670	4	N	2008-12-15	SUCURSAL	PIO XI	1615		2		SANTIAGO	VITACURA	XIII REGION METROPOLITANA
